t,lon_gps,lat_gps,alt,time,duration_local,speed_haversine,distance_gps,bearing_gps,speed_geod,x_gps,y_gps,road_index,lon_road,lat_road,order,x_road,y_road,distance_road,bearing_road,offset,section,road type
1628.6391226198796,4.54157362,51.86409119,48.604,2021-10-21 09:33:26.999000+00:00,1636.999,26.09824034254785,26.178599963754973,77.51341042603377,26.178599963754973,96753.91446047807,430953.57943020033,1416.0,4.54157,51.8641,2098.0,96753.67653,430954.5624,26.18618126,25920795.48149153,1.0112277810550852,G,straight
1629.6391226198796,4.54194027,51.86414628,48.727,2021-10-21 09:33:27.999000+00:00,1637.999,25.910922778614665,25.99011224822746,76.3585582381874,25.99011224822746,96779.2394103343,430959.4145662736,1417.0,4.541935,51.864159,2099.0,96778.89288,430960.8339,25.98614272,25920795.36724712,1.4608388813145732,G,straight
1630.6391226198796,4.54229868,51.86420624,48.911,2021-10-21 09:33:28.999000+00:00,1638.999,25.497688515830088,25.574797595766864,74.87877541302029,25.574797595766864,96804.00305121831,430965.798214432,1419.0,4.542291,51.864222,2101.0,96803.49445,430967.5577,11.25263378,25920792.74423693,1.831161581758555,G,straight
1631.6391226198796,4.5426528,51.86426913,49.153,2021-10-21 09:33:29.999000+00:00,1639.999,25.30154955735454,25.377544558939505,73.99412448669463,25.377544558939505,96828.47493294702,430972.5113805248,1420.0,4.542642,51.86429,2102.0,96827.75803,430974.8418,25.33495926,25920792.62399091,2.438168613717328,G,straight
1632.6391226198796,4.54300535,51.86433654,49.263,2021-10-21 09:33:30.999000+00:00,1640.999,25.34201229828162,25.417406638446234,72.83707843222626,25.417406638446234,96852.84444982096,430979.7287731457,1421.0,4.542994,51.864358,2103.0,96852.09042,430982.1253,25.40067476,25920792.67036932,2.512342832553969,G,straight
1633.6391226198796,4.54335838,51.86440199,49.236,2021-10-21 09:33:31.999000+00:00,1641.999,25.309938363768183,25.38554976444705,73.32937355491853,25.38554976444705,96877.24442496468,430986.7278497868,1422.0,4.543346,51.864426,2104.0,96876.42274,430989.4089,25.40063988,25920792.67034457,2.8041031256872606,G,straight
1634.6391226198796,4.54371131,51.86446273,49.36,2021-10-21 09:33:32.999000+00:00,1642.999,25.157696336772418,25.233538547571463,74.46486070763797,25.233538547571463,96901.63136398292,430993.2031358554,1423.0,4.543691,51.864498,2106.0,96900.27801,430997.1432,25.07930793,25920791.37145393,4.165945591155788,G,straight
1635.6391226198796,4.54406748,51.86452461,49.338,2021-10-21 09:33:33.999000+00:00,1643.999,25.40608129737673,25.482589178234928,74.3244649793612,25.482589178234928,96926.2428679866,430999.8027781741,1424.0,4.544039,51.864574,2107.0,96924.34499,431005.3202,25.41975402,25920790.56958599,5.834535170425763,G,straight
1636.6391226198796,4.54442191,51.86459731,49.292,2021-10-21 09:33:34.999000+00:00,1644.999,25.6445274612654,25.72003940526625,71.66923575159416,25.72003940526625,96950.7484137006,431007.6076594188,1425.0,4.544391,51.864651,2108.0,96948.68869,431013.6054,25.71657962,25920790.53999577,6.341309715688645,G,straight
1637.6391226198796,4.54477237,51.86467833,49.28,2021-10-21 09:33:35.999000+00:00,1645.999,25.69550194588558,25.76960910156637,69.52368012013903,25.76960910156637,96974.99116820114,431016.3414316461,1426.0,4.544733,51.864725,2109.0,96972.33968,431021.5649,24.95598602,25920790.73566622,5.805785207718417,G,straight
